,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
3938,Punjab Kings,Chennai Super Kings,Chennai,168,119,3,182,84.0,8.47,0
3939,Punjab Kings,Chennai Super Kings,Chennai,167,118,2,182,45.0,8.49,0
3940,Punjab Kings,Chennai Super Kings,Chennai,167,117,1,182,30.0,8.56,0
3941,Punjab Kings,Chennai Super Kings,Chennai,166,116,0,182,24.0,8.59,0
3942,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,131,119,3,141,60.0,6.61,1
3943,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,131,118,2,141,30.0,6.66,1
3944,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,130,117,1,141,22.0,6.67,1
3945,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,130,116,0,141,16.5,6.72,1
3946,Chennai Super Kings,Delhi Capitals,Delhi,175,119,3,188,78.0,8.82,1
3947,Chennai Super Kings,Delhi Capitals,Delhi,171,118,2,188,51.0,8.69,1
3948,Chennai Super Kings,Delhi Capitals,Delhi,171,117,1,188,34.0,8.77,1
3949,Chennai Super Kings,Delhi Capitals,Delhi,170,116,0,188,27.0,8.79,1
3950,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,125,9,130,-0.0,6.24,0
3951,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,124,8,130,-0.0,6.29,0
3952,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,123,7,130,-0.0,6.34,0
3953,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,122,6,130,-0.0,6.39,0
3954,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,121,5,130,-0.0,6.45,0
3955,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,126,119,3,130,24.0,6.35,0
3956,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,126,118,2,130,12.0,6.41,0
3957,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,126,117,1,130,8.0,6.46,0
3958,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,122,116,0,130,12.0,6.31,0
3959,Mumbai Indians,Rajasthan Royals,Mumbai,104,125,9,104,-0.0,4.99,1
3960,Mumbai Indians,Rajasthan Royals,Mumbai,104,124,8,104,-0.0,5.03,1
3961,Mumbai Indians,Rajasthan Royals,Mumbai,104,123,7,104,-0.0,5.07,1
3962,Mumbai Indians,Rajasthan Royals,Mumbai,102,119,3,104,12.0,5.14,1
3963,Mumbai Indians,Rajasthan Royals,Mumbai,102,118,2,104,6.0,5.19,1
3964,Mumbai Indians,Rajasthan Royals,Mumbai,102,119,1,104,12.0,5.14,1
3965,Mumbai Indians,Rajasthan Royals,Mumbai,101,118,0,104,9.0,5.14,1
3966,Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,119,3,145,18.0,7.16,0
3967,Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,118,2,145,9.0,7.22,0
3968,Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,117,1,145,6.0,7.28,0
3969,Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,116,0,145,4.5,7.34,0
3970,Punjab Kings,Royal Challengers Bangalore,Bangalore,117,119,3,127,60.0,5.9,0
3971,Punjab Kings,Royal Challengers Bangalore,Bangalore,116,118,2,127,33.0,5.9,0
3972,Punjab Kings,Royal Challengers Bangalore,Bangalore,116,117,1,127,22.0,5.95,0
3973,Punjab Kings,Royal Challengers Bangalore,Bangalore,115,116,0,127,18.0,5.95,0
3974,Rajasthan Royals,Chennai Super Kings,Jaipur,110,125,9,110,-0.0,5.28,1
3975,Rajasthan Royals,Chennai Super Kings,Jaipur,110,124,8,110,-0.0,5.32,1
3976,Rajasthan Royals,Chennai Super Kings,Jaipur,110,123,7,110,-0.0,5.37,1
3977,Rajasthan Royals,Chennai Super Kings,Jaipur,110,122,6,110,-0.0,5.41,1
3978,Rajasthan Royals,Chennai Super Kings,Jaipur,110,121,5,110,-0.0,5.45,1
3979,Rajasthan Royals,Chennai Super Kings,Jaipur,106,119,3,110,24.0,5.34,1
3980,Rajasthan Royals,Chennai Super Kings,Jaipur,106,118,2,110,12.0,5.39,1
3981,Rajasthan Royals,Chennai Super Kings,Jaipur,106,117,1,110,8.0,5.44,1
3982,Rajasthan Royals,Chennai Super Kings,Jaipur,106,116,0,110,6.0,5.48,1
3983,Delhi Capitals,Mumbai Indians,Mumbai,163,125,9,163,-0.0,7.82,0
3984,Delhi Capitals,Mumbai Indians,Mumbai,160,119,3,163,18.0,8.07,0
3985,Delhi Capitals,Mumbai Indians,Mumbai,160,118,2,163,9.0,8.14,0
3986,Delhi Capitals,Mumbai Indians,Mumbai,160,117,1,163,6.0,8.21,0
3987,Delhi Capitals,Mumbai Indians,Mumbai,160,116,0,163,4.5,8.28,0
3988,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,150,119,3,157,42.0,7.56,0
3989,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,148,119,2,157,54.0,7.46,0
3990,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,148,118,1,157,27.0,7.53,0
3991,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,148,117,0,157,18.0,7.59,0
3992,Kolkata Knight Riders,Punjab Kings,Chandigarh,169,119,3,179,60.0,8.52,0
3993,Kolkata Knight Riders,Punjab Kings,Chandigarh,169,119,2,179,60.0,8.52,0
3994,Kolkata Knight Riders,Punjab Kings,Chandigarh,169,118,1,179,30.0,8.59,0
3995,Kolkata Knight Riders,Punjab Kings,Chandigarh,169,117,0,179,20.0,8.67,0
3996,Delhi Capitals,Chennai Super Kings,Chennai,156,119,3,170,84.0,7.87,0
3997,Delhi Capitals,Chennai Super Kings,Chennai,156,118,2,170,42.0,7.93,0
3998,Delhi Capitals,Chennai Super Kings,Chennai,150,117,1,170,40.0,7.69,0
3999,Delhi Capitals,Chennai Super Kings,Chennai,148,116,0,170,33.0,7.66,0
4000,Kolkata Knight Riders,Rajasthan Royals,Jaipur,188,119,3,197,54.0,9.48,0
4001,Kolkata Knight Riders,Rajasthan Royals,Jaipur,184,119,2,197,78.0,9.28,0
4002,Kolkata Knight Riders,Rajasthan Royals,Jaipur,183,118,1,197,42.0,9.31,0
4003,Kolkata Knight Riders,Rajasthan Royals,Jaipur,182,117,0,197,30.0,9.33,0
4004,Punjab Kings,Sunrisers Hyderabad,Hyderabad,165,125,9,165,-0.0,7.92,0
4005,Punjab Kings,Sunrisers Hyderabad,Hyderabad,154,119,3,165,66.0,7.76,0
4006,Punjab Kings,Sunrisers Hyderabad,Hyderabad,153,118,2,165,36.0,7.78,0
4007,Punjab Kings,Sunrisers Hyderabad,Hyderabad,153,117,1,165,24.0,7.85,0
4008,Punjab Kings,Sunrisers Hyderabad,Hyderabad,153,116,0,165,18.0,7.91,0
4009,Royal Challengers Bangalore,Delhi Capitals,Delhi,192,125,9,192,-0.0,9.22,0
4010,Royal Challengers Bangalore,Delhi Capitals,Delhi,185,119,3,192,42.0,9.33,0
4011,Royal Challengers Bangalore,Delhi Capitals,Delhi,185,118,2,192,21.0,9.41,0
4012,Royal Challengers Bangalore,Delhi Capitals,Delhi,181,117,1,192,22.0,9.28,0
4013,Royal Challengers Bangalore,Delhi Capitals,Delhi,180,116,0,192,18.0,9.31,0
4014,Mumbai Indians,Kolkata Knight Riders,Kolkata,138,125,9,138,-0.0,6.62,1
4015,Mumbai Indians,Kolkata Knight Riders,Kolkata,132,119,3,138,36.0,6.66,1
4016,Mumbai Indians,Kolkata Knight Riders,Kolkata,132,118,2,138,18.0,6.71,1
4017,Mumbai Indians,Kolkata Knight Riders,Kolkata,128,119,1,138,60.0,6.45,1
4018,Mumbai Indians,Kolkata Knight Riders,Kolkata,128,118,0,138,30.0,6.51,1
4019,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,174,119,3,179,30.0,8.77,0
4020,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,173,118,2,179,18.0,8.8,0
4021,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,172,119,1,179,42.0,8.67,0
4022,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,172,118,0,179,21.0,8.75,0
4023,Punjab Kings,Punjab Kings,Chandigarh,157,119,3,159,12.0,7.92,0
4024,Punjab Kings,Punjab Kings,Chandigarh,157,118,2,159,6.0,7.98,0
4025,Punjab Kings,Punjab Kings,Chandigarh,155,117,1,159,8.0,7.95,0
4026,Punjab Kings,Punjab Kings,Chandigarh,152,116,0,159,10.5,7.86,0
4027,Sunrisers Hyderabad,Mumbai Indians,Mumbai,155,125,9,155,-0.0,7.44,0
4028,Sunrisers Hyderabad,Mumbai Indians,Mumbai,144,119,3,155,66.0,7.26,0
4029,Sunrisers Hyderabad,Mumbai Indians,Mumbai,140,118,2,155,45.0,7.12,0
4030,Sunrisers Hyderabad,Mumbai Indians,Mumbai,140,117,1,155,30.0,7.18,0
4031,Sunrisers Hyderabad,Mumbai Indians,Mumbai,139,116,0,155,24.0,7.19,0
4032,Chennai Super Kings,Kolkata Knight Riders,Chennai,148,125,9,148,-0.0,7.1,1
4033,Chennai Super Kings,Kolkata Knight Riders,Chennai,148,124,8,148,-0.0,7.16,1
4034,Chennai Super Kings,Kolkata Knight Riders,Chennai,143,119,3,148,30.0,7.21,1
4035,Chennai Super Kings,Kolkata Knight Riders,Chennai,143,119,2,148,30.0,7.21,1
4036,Chennai Super Kings,Kolkata Knight Riders,Chennai,142,118,1,148,18.0,7.22,1
4037,Chennai Super Kings,Kolkata Knight Riders,Chennai,142,117,0,148,12.0,7.28,1
4038,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,136,125,9,136,-0.0,6.53,1
4039,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,126,119,3,136,60.0,6.35,1
4040,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,118,2,136,42.0,6.2,1
4041,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,117,1,136,28.0,6.26,1
4042,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,116,0,136,21.0,6.31,1
4043,Mumbai Indians,Punjab Kings,Chandigarh,183,125,9,183,-0.0,8.78,0
4044,Mumbai Indians,Punjab Kings,Chandigarh,180,119,3,183,18.0,9.08,0
4045,Mumbai Indians,Punjab Kings,Chandigarh,174,118,2,183,27.0,8.85,0
4046,Mumbai Indians,Punjab Kings,Chandigarh,174,117,1,183,18.0,8.92,0
4047,Mumbai Indians,Punjab Kings,Chandigarh,174,116,0,183,13.5,9.0,0
4048,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,215,125,9,215,-0.0,10.32,1
4049,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,215,124,8,215,-0.0,10.4,1
4050,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,204,119,3,215,66.0,10.29,1
4051,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,204,118,2,215,33.0,10.37,1
4052,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,202,117,1,215,26.0,10.36,1
4053,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,201,116,0,215,21.0,10.4,1
4054,Mumbai Indians,Chennai Super Kings,Chennai,209,125,9,209,-0.0,10.03,0
4055,Mumbai Indians,Chennai Super Kings,Chennai,200,119,3,209,54.0,10.08,0
4056,Mumbai Indians,Chennai Super Kings,Chennai,200,118,2,209,27.0,10.17,0
4057,Mumbai Indians,Chennai Super Kings,Chennai,196,119,1,209,78.0,9.88,0
4058,Mumbai Indians,Chennai Super Kings,Chennai,196,118,0,209,39.0,9.97,0
4059,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,135,119,3,143,48.0,6.81,0
4060,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,131,118,2,143,36.0,6.66,0
4061,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,130,117,1,143,26.0,6.67,0
4062,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,126,116,0,143,25.5,6.52,0
4063,Rajasthan Royals,Punjab Kings,Jaipur,167,125,9,167,-0.0,8.02,1
4064,Rajasthan Royals,Punjab Kings,Jaipur,161,119,3,167,36.0,8.12,1
4065,Rajasthan Royals,Punjab Kings,Jaipur,161,119,2,167,36.0,8.12,1
4066,Rajasthan Royals,Punjab Kings,Jaipur,160,118,1,167,21.0,8.14,1
4067,Rajasthan Royals,Punjab Kings,Jaipur,160,117,0,167,14.0,8.21,1
4068,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,119,3,111,36.0,5.29,1
4069,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,118,2,111,18.0,5.34,1
4070,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,117,1,111,12.0,5.38,1
4071,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,103,116,0,111,12.0,5.33,1
4072,Royal Challengers Bangalore,Mumbai Indians,Mumbai,166,125,9,166,-0.0,7.97,1
4073,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,119,3,166,60.0,7.87,1
4074,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,118,2,166,30.0,7.93,1
4075,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,117,1,166,20.0,8.0,1
4076,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,116,0,166,15.0,8.07,1
4077,Delhi Capitals,Delhi Capitals,Delhi,130,125,9,130,-0.0,6.24,0
4078,Delhi Capitals,Delhi Capitals,Delhi,130,124,8,130,-0.0,6.29,0
4079,Delhi Capitals,Delhi Capitals,Delhi,130,123,7,130,-0.0,6.34,0
4080,Delhi Capitals,Delhi Capitals,Delhi,130,122,6,130,-0.0,6.39,0
4081,Delhi Capitals,Delhi Capitals,Delhi,118,119,3,130,72.0,5.95,0
4082,Delhi Capitals,Delhi Capitals,Delhi,114,118,2,130,48.0,5.8,0
